antecedents,consequents,antecedent support,consequent support,support,confidence,lift,representativity,leverage,conviction,zhangs_metric,jaccard,certainty,kulczynski
frozenset({'blush + ugl set'}),frozenset({'brow boss pencil'}),0.125,0.125,0.125,1.0,8.0,1.0,0.109375,inf,1.0,1.0,1.0,1.0
frozenset({'brow boss pencil'}),frozenset({'blush + ugl set'}),0.125,0.125,0.125,1.0,8.0,1.0,0.109375,inf,1.0,1.0,1.0,1.0
frozenset({'brow pencil'}),frozenset({'brow boss gel'}),0.125,0.125,0.125,1.0,8.0,1.0,0.109375,inf,1.0,1.0,1.0,1.0
frozenset({'byob'}),frozenset({'brow boss gel'}),0.125,0.125,0.125,1.0,8.0,1.0,0.109375,inf,1.0,1.0,1.0,1.0
frozenset({'blotted lip'}),frozenset({'bronzer stix'}),0.125,0.125,0.125,1.0,8.0,1.0,0.109375,inf,1.0,1.0,1.0,1.0
frozenset({'brow boss gel'}),frozenset({'byob'}),0.125,0.125,0.125,1.0,8.0,1.0,0.109375,inf,1.0,1.0,1.0,1.0
frozenset({'chrome liquid shadow'}),frozenset({'cheek & lip set'}),0.125,0.125,0.125,1.0,8.0,1.0,0.109375,inf,1.0,1.0,1.0,1.0
frozenset({'cheek & lip set'}),frozenset({'cleansing duo'}),0.125,0.125,0.125,1.0,8.0,1.0,0.109375,inf,1.0,1.0,1.0,1.0
frozenset({'cleansing duo'}),frozenset({'cheek & lip set'}),0.125,0.125,0.125,1.0,8.0,1.0,0.109375,inf,1.0,1.0,1.0,1.0
frozenset({'cloud whip blurring liquid lipstick'}),frozenset({'cheek & lip set'}),0.125,0.125,0.125,1.0,8.0,1.0,0.109375,inf,1.0,1.0,1.0,1.0
frozenset({'cheek & lip set'}),frozenset({'cloud whip blurring liquid lipstick'}),0.125,0.125,0.125,1.0,8.0,1.0,0.109375,inf,1.0,1.0,1.0,1.0
frozenset({'cloud whip blurring liquid lipstick'}),frozenset({'brow pencil'}),0.125,0.125,0.125,1.0,8.0,1.0,0.109375,inf,1.0,1.0,1.0,1.0
frozenset({'brow pencil'}),frozenset({'cloud whip blurring liquid lipstick'}),0.125,0.125,0.125,1.0,8.0,1.0,0.109375,inf,1.0,1.0,1.0,1.0
frozenset({'cleansing duo'}),frozenset({'brow pencil'}),0.125,0.125,0.125,1.0,8.0,1.0,0.109375,inf,1.0,1.0,1.0,1.0
frozenset({'brow pencil'}),frozenset({'cleansing duo'}),0.125,0.125,0.125,1.0,8.0,1.0,0.109375,inf,1.0,1.0,1.0,1.0
frozenset({'chrome liquid shadow'}),frozenset({'brow pencil'}),0.125,0.125,0.125,1.0,8.0,1.0,0.109375,inf,1.0,1.0,1.0,1.0
frozenset({'brow pencil'}),frozenset({'chrome liquid shadow'}),0.125,0.125,0.125,1.0,8.0,1.0,0.109375,inf,1.0,1.0,1.0,1.0
frozenset({'chrome crème gel liner'}),frozenset({'brow pencil'}),0.125,0.125,0.125,1.0,8.0,1.0,0.109375,inf,1.0,1.0,1.0,1.0
frozenset({'brow pencil'}),frozenset({'chrome crème gel liner'}),0.125,0.125,0.125,1.0,8.0,1.0,0.109375,inf,1.0,1.0,1.0,1.0
frozenset({'cheek palette'}),frozenset({'brow pencil'}),0.125,0.125,0.125,1.0,8.0,1.0,0.109375,inf,1.0,1.0,1.0,1.0
frozenset({'brow pencil'}),frozenset({'cheek palette'}),0.125,0.125,0.125,1.0,8.0,1.0,0.109375,inf,1.0,1.0,1.0,1.0
frozenset({'cheek & lip set'}),frozenset({'brow pencil'}),0.125,0.125,0.125,1.0,8.0,1.0,0.109375,inf,1.0,1.0,1.0,1.0
frozenset({'brow pencil'}),frozenset({'cheek & lip set'}),0.125,0.125,0.125,1.0,8.0,1.0,0.109375,inf,1.0,1.0,1.0,1.0
frozenset({'candy lip oil'}),frozenset({'brow pencil'}),0.125,0.125,0.125,1.0,8.0,1.0,0.109375,inf,1.0,1.0,1.0,1.0
frozenset({'brow pencil'}),frozenset({'candy lip oil'}),0.125,0.125,0.125,1.0,8.0,1.0,0.109375,inf,1.0,1.0,1.0,1.0
frozenset({'brow pencil'}),frozenset({'byob'}),0.125,0.125,0.125,1.0,8.0,1.0,0.109375,inf,1.0,1.0,1.0,1.0
frozenset({'byob'}),frozenset({'brow pencil'}),0.125,0.125,0.125,1.0,8.0,1.0,0.109375,inf,1.0,1.0,1.0,1.0
frozenset({'cheek palette'}),frozenset({'chrome crème gel liner'}),0.125,0.125,0.125,1.0,8.0,1.0,0.109375,inf,1.0,1.0,1.0,1.0
frozenset({'chrome crème gel liner'}),frozenset({'cheek palette'}),0.125,0.125,0.125,1.0,8.0,1.0,0.109375,inf,1.0,1.0,1.0,1.0
frozenset({'cheek palette'}),frozenset({'chrome liquid shadow'}),0.125,0.125,0.125,1.0,8.0,1.0,0.109375,inf,1.0,1.0,1.0,1.0
frozenset({'chrome liquid shadow'}),frozenset({'cheek palette'}),0.125,0.125,0.125,1.0,8.0,1.0,0.109375,inf,1.0,1.0,1.0,1.0
frozenset({'cheek palette'}),frozenset({'cleansing duo'}),0.125,0.125,0.125,1.0,8.0,1.0,0.109375,inf,1.0,1.0,1.0,1.0
frozenset({'cleansing duo'}),frozenset({'cheek palette'}),0.125,0.125,0.125,1.0,8.0,1.0,0.109375,inf,1.0,1.0,1.0,1.0
frozenset({'cheek & lip set'}),frozenset({'chrome liquid shadow'}),0.125,0.125,0.125,1.0,8.0,1.0,0.109375,inf,1.0,1.0,1.0,1.0
frozenset({'chrome crème gel liner'}),frozenset({'cheek & lip set'}),0.125,0.125,0.125,1.0,8.0,1.0,0.109375,inf,1.0,1.0,1.0,1.0
frozenset({'cheek & lip set'}),frozenset({'chrome crème gel liner'}),0.125,0.125,0.125,1.0,8.0,1.0,0.109375,inf,1.0,1.0,1.0,1.0
frozenset({'cheek palette'}),frozenset({'cheek & lip set'}),0.125,0.125,0.125,1.0,8.0,1.0,0.109375,inf,1.0,1.0,1.0,1.0
frozenset({'cloud whip blurring liquid lipstick'}),frozenset({'candy lip oil'}),0.125,0.125,0.125,1.0,8.0,1.0,0.109375,inf,1.0,1.0,1.0,1.0
frozenset({'cleansing duo'}),frozenset({'candy lip oil'}),0.125,0.125,0.125,1.0,8.0,1.0,0.109375,inf,1.0,1.0,1.0,1.0
frozenset({'candy lip oil'}),frozenset({'cleansing duo'}),0.125,0.125,0.125,1.0,8.0,1.0,0.109375,inf,1.0,1.0,1.0,1.0
frozenset({'chrome liquid shadow'}),frozenset({'candy lip oil'}),0.125,0.125,0.125,1.0,8.0,1.0,0.109375,inf,1.0,1.0,1.0,1.0
frozenset({'candy lip oil'}),frozenset({'chrome liquid shadow'}),0.125,0.125,0.125,1.0,8.0,1.0,0.109375,inf,1.0,1.0,1.0,1.0
frozenset({'chrome crème gel liner'}),frozenset({'candy lip oil'}),0.125,0.125,0.125,1.0,8.0,1.0,0.109375,inf,1.0,1.0,1.0,1.0
frozenset({'candy lip oil'}),frozenset({'chrome crème gel liner'}),0.125,0.125,0.125,1.0,8.0,1.0,0.109375,inf,1.0,1.0,1.0,1.0
frozenset({'cheek palette'}),frozenset({'candy lip oil'}),0.125,0.125,0.125,1.0,8.0,1.0,0.109375,inf,1.0,1.0,1.0,1.0
frozenset({'candy lip oil'}),frozenset({'cheek palette'}),0.125,0.125,0.125,1.0,8.0,1.0,0.109375,inf,1.0,1.0,1.0,1.0
frozenset({'candy lip oil'}),frozenset({'cheek & lip set'}),0.125,0.125,0.125,1.0,8.0,1.0,0.109375,inf,1.0,1.0,1.0,1.0
frozenset({'cheek & lip set'}),frozenset({'candy lip oil'}),0.125,0.125,0.125,1.0,8.0,1.0,0.109375,inf,1.0,1.0,1.0,1.0
frozenset({'cheek & lip set'}),frozenset({'cheek palette'}),0.125,0.125,0.125,1.0,8.0,1.0,0.109375,inf,1.0,1.0,1.0,1.0
frozenset({'cloud whip blurring liquid lipstick'}),frozenset({'byob'}),0.125,0.125,0.125,1.0,8.0,1.0,0.109375,inf,1.0,1.0,1.0,1.0
frozenset({'byob'}),frozenset({'candy lip oil'}),0.125,0.125,0.125,1.0,8.0,1.0,0.109375,inf,1.0,1.0,1.0,1.0
frozenset({'byob'}),frozenset({'cloud whip blurring liquid lipstick'}),0.125,0.125,0.125,1.0,8.0,1.0,0.109375,inf,1.0,1.0,1.0,1.0
frozenset({'cleansing duo'}),frozenset({'byob'}),0.125,0.125,0.125,1.0,8.0,1.0,0.109375,inf,1.0,1.0,1.0,1.0
frozenset({'byob'}),frozenset({'cleansing duo'}),0.125,0.125,0.125,1.0,8.0,1.0,0.109375,inf,1.0,1.0,1.0,1.0
frozenset({'chrome liquid shadow'}),frozenset({'byob'}),0.125,0.125,0.125,1.0,8.0,1.0,0.109375,inf,1.0,1.0,1.0,1.0
frozenset({'byob'}),frozenset({'chrome liquid shadow'}),0.125,0.125,0.125,1.0,8.0,1.0,0.109375,inf,1.0,1.0,1.0,1.0
